City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
265,Maragogi,BR,79.75,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
266,Domoni,KM,79.59,light rain,-12.2569,44.5319,Al Djadid
267,Kaeo,NZ,75.33,broken clouds,-35.1,173.7833,Bushido Lodge
273,Maturin,VE,79.25,few clouds,9.75,-63.1767,Hotel Residencial La Pichincha
275,Mitsamiouli,KM,82.29,overcast clouds,-11.3847,43.2844,Foyer ADM
279,Carnarvon,AU,80.91,few clouds,-24.8667,113.6333,Hospitality Carnarvon
283,Alofi,NU,81.45,light rain,-19.0595,-169.9187,Taloa Heights
288,Buala,SB,80.22,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
290,Gizo,SB,79.39,light rain,-8.103,156.8419,Imagination Island
294,Saint-Philippe,RE,78.35,heavy intensity rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
302,Bucerias,MX,76.98,broken clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
305,Muana,BR,75.31,overcast clouds,-1.5283,-49.2167,Pousada Bella do Marajó
312,Anito,PH,77.74,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
321,Koumac,NC,84.29,overcast clouds,-20.5667,164.2833,Le Monitel
323,Bakel,SN,76.96,scattered clouds,14.905,-12.4568,Ablaye Diallo Bakel
324,Sechura,PE,78.51,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
330,Tiarei,PF,87.82,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
331,Aragarcas,BR,75.69,broken clouds,-15.8975,-52.2508,Pousada Tropical
341,Goya,AR,77.5,overcast clouds,-29.14,-59.2626,Apart Costanera Goya
344,Sao Jose Da Coroa Grande,BR,79.81,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
351,Muisne,EC,76.44,light rain,0.6,-80.0333,Quinta Samay
353,Ixtapa,MX,75.22,overcast clouds,20.7,-105.2,hotel la terminal
357,Richards Bay,ZA,78.55,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
362,Pemba,MZ,77.94,light rain,-12.974,40.5178,Guesthouse Samotina
371,Geraldton,AU,84.13,clear sky,-28.7667,114.6,Broadwater Mariner Resort
377,Takoradi,GH,79.9,clear sky,4.8845,-1.7554,Raybow International Hotel
385,Santa Cruz,BO,81.86,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
386,Saint-Joseph,RE,77.36,very heavy rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
387,Puerto Colombia,CO,80.69,clear sky,10.9878,-74.9547,Hotel El Emigrante
389,Santa Quiteria,BR,81.39,overcast clouds,-4.3319,-40.1567,Tahen Hotel
394,Tautira,PF,87.82,scattered clouds,-17.7333,-149.15,Pension Oaoa
395,Auki,SB,77.67,overcast clouds,-8.7676,160.7034,Auki Motel
396,Villa Union,MX,78.76,broken clouds,23.2,-106.2333,My Fantasy Auto-Hotel
400,Maningrida,AU,81.0,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
402,Campoverde,PE,78.49,light rain,-8.4753,-74.8058,Hospedaje Coral's
405,Kavieng,PG,81.54,light rain,-2.5744,150.7967,Nusa Island Retreat
407,Maumere,ID,79.36,overcast clouds,-8.6199,122.2111,Sylvia Hotel
416,Parana,AR,80.56,broken clouds,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
421,Kloulklubed,PW,82.9,broken clouds,7.0419,134.2556,Storyboard Beach Resort
425,Koungou,YT,82.11,clear sky,-12.7336,45.2042,Villa Netibor
433,Obidos,BR,79.09,overcast clouds,-1.9175,-55.5181,Hotel Amazônia Center
435,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
439,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
440,Caravelas,BR,77.49,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
444,Maloh,PH,79.65,overcast clouds,9.056,122.9851,Centralle District Beach Resort
450,Viedma,AR,77.99,clear sky,-40.8135,-62.9967,Hotel Cristal
457,Sinnar,SD,79.05,overcast clouds,13.5691,33.5672,هجو الطاهر
461,Ambon,ID,81.0,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
466,Male,MV,80.85,clear sky,4.1748,73.5089,Hotel Octave Maldives
468,Kudahuvadhoo,MV,80.8,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
474,Upata,VE,80.19,broken clouds,8.0086,-62.3989,Posada Villa Nela
488,Honiara,SB,79.14,overcast clouds,-9.4333,159.95,Heritage Park Hotel
494,Presidente Dutra,BR,76.42,overcast clouds,-5.29,-44.49,Pousada Planalto
497,Cockburn Town,TC,75.38,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
498,Chirongui,YT,82.33,overcast clouds,-12.9319,45.1483,La Villa Mahatsara
500,Dhidhdhoo,MV,80.06,few clouds,6.8833,73.1,Dhidhoo beach
502,Morant Bay,JM,78.66,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
507,Manzanillo,CU,80.15,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
521,Pandan,PH,77.04,overcast clouds,14.0453,124.1694,Bonifacio Lodge
524,Panaba,MX,85.42,clear sky,21.2833,-88.2667,Hotel California
525,Nueva Concepcion,GT,87.75,few clouds,14.2,-91.3,Hotel Villa Las Flores
527,Monrovia,LR,76.77,scattered clouds,6.3005,-10.7969,Sunset Inn
533,Kimbe,PG,77.9,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
536,Labuan,MY,78.96,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
538,Rio Grande,BR,76.89,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
539,Miri,MY,75.94,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
547,Merauke,ID,81.86,overcast clouds,-8.4667,140.3333,
550,Celestun,MX,83.57,clear sky,20.8667,-90.4,Posada Lilia
560,Ibotirama,BR,81.61,broken clouds,-12.1853,-43.2206,Serra do Rio Hotel
562,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
567,Dom Pedrito,BR,75.78,light rain,-30.9828,-54.6731,Hotel Alexandre
571,Ende,ID,79.07,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
572,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
577,Kontagora,NG,75.15,scattered clouds,10.3999,5.4695,Queens Guest Inn
579,Grand-Lahou,CI,78.76,clear sky,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
581,Howard Springs,AU,81.88,overcast clouds,-12.497,131.047,buffalo beach hostel
583,Banda Aceh,ID,78.1,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
