City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Upernavik,GL,2022-01-31 23:24:28,72.7868,-56.1549,-19.8,99,92,6.4
68,Gwadar,PK,2022-01-31 23:24:29,25.1216,62.3254,71.2,63,0,2.06
69,Torbay,CA,2022-01-31 23:24:30,47.6666,-52.7314,32.58,76,75,14.97
70,Akyab,MM,2022-01-31 23:24:31,20.15,92.9,59.16,60,18,6.29
71,La Asuncion,VE,2022-01-31 23:24:32,11.0333,-63.8628,76.59,84,40,12.91
72,Rivera,UY,2022-01-31 23:24:32,-30.9053,-55.5508,79.7,46,24,17.36
73,Maldonado,UY,2022-01-31 23:24:26,-34.6667,-54.9167,65.59,63,6,7.52
74,Punta Arenas,CL,2022-01-31 23:24:34,-53.15,-70.9167,46.51,81,40,24.16
75,Salalah,OM,2022-01-31 23:24:35,17.0151,54.0924,68.09,77,0,3.44
76,Maarianhamina,AX,2022-01-31 23:24:35,60.0973,19.9348,22.86,80,100,6.91
77,Mataura,NZ,2022-01-31 23:24:36,-46.1927,168.8643,75.47,54,63,2.15
78,Tura,IN,2022-01-31 23:24:37,25.5198,90.2201,55.69,60,31,4.16
79,Le Port,RE,2022-01-31 23:24:38,-20.9373,55.2919,78.8,80,92,0.83
80,Tutoia,BR,2022-01-31 23:24:39,-2.7619,-42.2744,84.18,84,24,12.01
81,Sosnovka,RU,2022-01-31 23:24:39,56.255,51.2842,27.64,96,100,9.93
82,Hithadhoo,MV,2022-01-31 23:24:40,-0.6,73.0833,82.2,74,22,9.35
83,Cumana,VE,2022-01-31 23:24:41,10.4635,-64.1775,77.13,82,52,9.57
84,Hamilton,US,2022-01-31 23:21:40,39.1834,-84.5333,37.24,64,0,0.0
85,Novobirilyussy,RU,2022-01-31 23:24:43,56.9514,90.6661,-8.19,96,11,3.83
86,Pauini,BR,2022-01-31 23:24:44,-7.7136,-66.9764,79.34,71,95,2.01
87,Saskylakh,RU,2022-01-31 23:24:45,71.9167,114.0833,-28.75,100,88,2.17
88,Tuktoyaktuk,CA,2022-01-31 23:25:45,69.4541,-133.0374,-18.4,76,75,0.0
89,Dagda,LV,2022-01-31 23:25:46,56.0951,27.5372,22.62,94,99,7.27
90,Esperance,AU,2022-01-31 23:25:47,-33.8667,121.9,64.24,59,89,16.73
91,Longyearbyen,SJ,2022-01-31 23:22:42,78.2186,15.6401,12.04,67,20,9.22
92,Yeppoon,AU,2022-01-31 23:25:49,-23.1333,150.7333,85.78,63,36,3.29
93,Husavik,IS,2022-01-31 23:25:53,66.0449,-17.3389,21.11,94,100,7.72
